Date,Calib. Date,Time ,Sample.ID,Treatment,Temperature,pH_mV,pH,Salinity (PSU),Notes (sampler)
20190124,20190124,13:00,TANK1,low,12.336,0.4,,28.52,
20190124,20190124,13:00,TANK2,low,12.155,4.2,,28.55,
20190124,20190124,13:00,TANK3,amb,12.852,-36.6,,28.61,
20190124,20190124,13:00,TANK4,amb,12.344,-39,,28.54,
20190124,20190124,13:00,TANK5,low-variable,12.456,-28.9,,28.52,
20190124,20190124,13:00,TANK6,amb,12.235,-39.4,,28.58,
20190126,20190126,9:00,TANK1,low,11.653,7.7,,28.89,
20190126,20190126,9:00,TANK2,low,11.699,5.6,,28.88,
20190126,20190126,9:00,TANK3,amb,11.884,-34.9,,28.89,
20190126,20190126,9:00,TANK4,amb,11.684,-35.1,,28.87,
20190126,20190126,9:00,TANK5,low-variable,11.668,-27.7,,28.87,
20190126,20190126,9:00,TANK6,amb,11.758,-35.7,,28.76,
20190127,20190127,13:30,TANK1,low,11.941,5.4,,28.95,
20190127,20190127,13:30,TANK2,low,12.016,9.7,,28.94,
20190127,20190127,13:30,TANK3,amb,12.117,-35.8,,28.95,
20190127,20190127,13:30,TANK4,amb,12.005,-35.6,,28.95,
20190127,20190127,13:30,TANK5,low-variable,11.963,-26.6,,28.93,
20190127,20190127,13:30,TANK6,amb,12.001,-36.9,,28.94,
20190128,20190128,10:50,TANK1,low,11.808,1,,28.79,
20190128,20190128,10:50,TANK2,low,11.98,4.5,,28.98,
20190128,20190128,10:50,TANK3,amb,11.974,-34.7,,29,
20190128,20190128,10:50,TANK4,amb,11.934,-34.8,,28.99,
20190128,20190128,10:50,TANK5,low-variable,11.827,-25.5,,28.96,
20190128,20190128,10:50,TANK6,amb,11.891,-35.3,,29,
20190129,20190129,11:00,TANK1,low,11.781,2.6,,28.89,
20190129,20190129,11:00,TANK2,low,11.976,9.5,,28.91,
20190129,20190129,11:00,TANK3,amb,11.86,-36.3,,28.92,
20190129,20190129,11:00,TANK4,amb,11.787,-35.7,,28.92,
20190129,20190129,11:00,TANK5,low-variable,11.83,-25.2,,28.97,
20190129,20190129,11:00,TANK6,amb,11.826,-36.2,,28.91,
20190130,20190130,9:25,TANK1,low,11.617,1.4,,28.94,
20190130,20190130,9:25,TANK2,low,12.457,-1.3,,29.1,
20190130,20190130,9:25,TANK3,amb,12.166,-35.7,,28.96,
20190130,20190130,9:25,TANK4,amb,12.071,-35.2,,28.98,
20190130,20190130,9:25,TANK5,low-variable,11.667,-34.2,,28.9,
20190130,20190130,9:25,TANK6,amb,12.073,-36.6,,28.96,
20190131,20190131,14:25,TANK1,low,12.323,0.4,,28.68,TA samples in mercuric chloride
20190131,20190131,14:25,TANK2,low,12.504,3.3,,28.72,TA samples in mercuric chloride
20190131,20190131,14:25,TANK3,amb,12.444,-38.1,,28.72,TA samples in mercuric chloride
20190131,20190131,14:25,TANK4,amb,12.338,-37.8,,28.71,TA samples in mercuric chloride
20190131,20190131,14:25,TANK5,low-variable,12.408,-35,,28.73,
20190131,20190131,14:25,TANK6,amb,12.491,-39.3,,28.7,
20190201,20190201,11:17,TANK1,low,12.155,3.3,,28.47,TA samples same day
20190201,20190201,11:17,TANK2,low,11.985,-1.4,,28.56,TA samples same day
20190201,20190201,11:17,TANK3,amb,12.069,-38.1,,28.58,TA samples same day
20190201,20190201,11:17,TANK4,amb,11.947,-37.7,,28.59,TA samples same day
20190201,20190201,11:17,TANK5,low-variable,12.019,-35.8,,28.59,
20190201,20190201,11:17,TANK6,amb,12.005,-38.9,,28.59,
20190202,20190202,15:00,TANK1,power_outage,10.22,2.7,,28.37,tanks have no flow not aerated
20190202,20190202,15:00,TANK2,power_outage,10.347,-3.3,,28.4,tanks have no flow not aerated
20190202,20190202,15:00,TANK3,power_outage,10.373,-3.2,,28.4,tanks have no flow not aerated
20190202,20190202,15:00,TANK5,power_outage,10.383,-6.5,,28.41,tanks have no flow not aerated
20190202,20190202,15:00,TANK6,power_outage,10.369,-6.9,,28.38,tanks have no flow not aerated
20190203,20190203,11:45,TANK1,low,11.006,1,,28.1,
20190203,20190203,11:45,TANK2,low,10.871,-1.2,,28.23,
20190203,20190203,11:45,TANK3,amb,10.757,-37.1,,28.25,
20190203,20190203,11:45,TANK4,amb,9.766,-45.1,,28.21,animals placed back in 4B from 3B 10 minutes before discrete measurements
20190203,20190203,11:45,TANK5,low-variable,10.859,-41.2,,28.35,
20190203,20190203,11:45,TANK6,amb,10.816,-40.4,,28.29,
20190204,20190204,9:30,TANK1,low,10.515,3.9,,28.49,
20190204,20190204,9:30,TANK2,low,10.437,4.5,,28.45,
20190204,20190204,9:30,TANK3,amb,10.878,-41,,28.37,
20190204,20190204,9:30,TANK4,amb,9.93,-38.6,,28.36,
20190204,20190204,9:30,TANK5,low-variable,10.743,-40.8,,28.43,
20190204,20190204,9:30,TANK6,amb,10.767,-41.5,,28.44,
20190205,20190205,11:00,TANK1,low,11.84,0.2,,28.58,
20190205,20190205,11:00,TANK2,low,11.835,0.3,,28.51,
20190205,20190205,11:00,TANK3,amb,11.797,-42.1,,28.5,
20190205,20190205,11:00,TANK4,amb,11.3,-39.5,,28.5,
20190205,20190205,11:00,TANK5,low-variable,11.729,-41.8,,28.49,
20190205,20190205,11:00,TANK6,amb,11.627,-41.4,,28.47,
20190206,20190206,11:30,TANK1,low,11.919,0.5,,29.51,
20190206,20190206,11:30,TANK2,low,11.781,3.6,,29.26,
20190206,20190206,11:30,TANK3,amb,11.767,-37.1,,29.87,
20190206,20190206,11:30,TANK4,amb,11.398,-36.8,,29.26,
20190206,20190206,11:30,TANK5,low-variable,11.672,-37.7,,29.29,
20190206,20190206,11:30,TANK6,amb,11.564,-37.5,,29.26,
20190207,20190207,14:25,TANK1,low,11.774,2.8,,29.13,
20190207,20190207,14:25,TANK2,low,11.816,2.6,,29.12,
20190207,20190207,14:25,TANK3,amb,11.966,-37.9,,29.13,
20190207,20190207,14:25,TANK4,amb,11.714,-36.8,,29.18,
20190207,20190207,14:25,TANK5,low-variable,11.867,-37.5,,2911,
20190207,20190207,14:25,TANK6,amb,11.907,-37.9,,29.12,
20190208,20190208,10:50,TANK1,low,11.719,1.9,,28.95,
20190208,20190208,10:50,TANK2,low,11.839,2,,28.94,
20190208,20190208,10:50,TANK3,amb,11.805,-39.5,,28.92,
20190208,20190208,10:50,TANK4,amb,11.758,-38.1,,28.95,
20190208,20190208,10:50,TANK5,low-variable,11.789,-38.2,,28.91,
20190208,20190208,10:50,TANK6,amb,11.711,-37.7,,28.84,
20190209,20190209,10:00,TANK1,low,11.45,1.7,,28.95,TA samples same day
20190209,20190209,10:00,TANK1_2,low,11.45,1.7,,28.95,TA samples in mercuric chloride - analyzed same day 
20190209,20190209,10:00,TANK2,low,11.821,1.5,,28.85,TA samples same day
20190209,20190209,10:00,TANK2_2,low,11.821,1.5,,28.85,TA samples in mercuric chloride - analyzed same day 
20190209,20190209,10:00,TANK3,amb,11.701,-40.7,,28.81,TA samples same day
20190209,20190209,10:00,TANK3_2,amb,11.701,-40.7,,28.81,TA samples in mercuric chloride - analyzed same day 
20190209,20190209,10:00,TANK4,amb,11.094,-38.9,,28.85,TA samples same day
20190209,20190209,10:00,TANK4_2,amb,11.094,-38.9,,28.85,TA samples in mercuric chloride - analyzed same day 
20190214,20190214,10:00,TANK1,low,11.676,-4,,27.86,TA samples in mercuric chloride
20190214,20190214,10:00,TANK2,low,12.379,0.6,,27.96,TA samples in mercuric chloride
20190214,20190214,10:00,TANK3,amb,13.373,-40.3,,27.95,TA samples in mercuric chloride
20190214,20190214,10:00,TANK4,amb,12.535,-39.6,,27.95,TA samples in mercuric chloride
20190214,20190214,10:00,TANK5,low-variable,12.104,-41.2,,27.96,TA samples in mercuric chloride
20190214,20190214,10:00,TANK6,amb,11.68,-40.9,,27.96,TA samples in mercuric chloride
20190218,20190218,9:40,TANK1,amb,11.628,-44.8,,28.18,TA samples same day
20190218,20190218,9:40,TANK2,amb,10.953,-46.7,,28.25,TA samples same day
20190218,20190218,9:40,TANK3,amb,11.05,-43.6,,28.27,TA samples same day
20190218,20190218,9:40,TANK4,amb,11.259,-44.6,,28.29,TA samples same day
20190218,20190218,9:40,TANK5,amb,11.198,-43.7,,28.29,TA samples same day
20190218,20190218,9:40,TANK6,amb,11.082,-43.6,,28.27,TA samples same day
20190219,20190219,8:30,TANK1,amb,11.658,-45.7,,28.28,
20190219,20190219,8:30,TANK2,amb,11.242,-47.1,,28.3,
20190219,20190219,8:30,TANK3,amb,11.193,-44.4,,28.32,
20190219,20190219,8:30,TANK4,amb,11.471,-44.7,,28.35,
20190219,20190219,8:30,TANK5,amb,11.409,-44,,28.34,
20190219,20190219,8:30,TANK6,amb,11.33,-44,,28.33,
20190221,20190221,8:20,TANK1,amb,11.246,-46.3,,28.15,
20190221,20190221,8:20,TANK2,amb,11.293,-48.3,,28.24,
20190221,20190221,8:20,TANK3,amb,11.258,-46.9,,28.23,
20190221,20190221,8:20,TANK4,amb,11.371,-47.5,,28.24,
20190221,20190221,8:20,TANK5,amb,11.331,-47.5,,28.24,
20190221,20190221,8:20,TANK6,amb,11.108,-47.1,,28.24,
20190312,20190312,11:15,TANK5,low-variable,11.481,-58.1,,28.53,"Remember, No longer treated, been amb for MONTHS, TA samples in mercuric chloride"
20190312,20190312,11:15,TANK6,amb,11.383,-56.5,,28.56,TA samples in mercuric chloride
20190316,20190316,16:30,TANK5,low-variable,11.436,-52.7,,28.52,TA samples in mercuric chloride
20190316,20190316,16:30,TANK6,amb,11.496,-51.2,,28.55,TA samples in mercuric chloride
20190318,20190318,11:00,TANK5,low-variable,11.757,-50,,28.73,
20190318,20190318,11:00,TANK6,amb,11.739,-49.2,,28.68,
20190319,20190319,9:50,TANK5,low-variable,11.981,-49.3,,28.75,
20190319,20190319,9:50,TANK6,amb,11.878,-48.4,,28.75,
20190502,20190502,10:20,H1T1,low,13.49,-15.7,,28.72,
20190502,20190502,10:23,H1T2,amb,13.21,-61.5,,29.21,
20190502,20190502,10:27,H1T3,low,12.98,-24.2,,29.16,
20190502,20190502,10:34,H1T4,amb,12.81,-56.6,,29.27,
20190502,20190502,10:30,H1T5,low,13.01,-25.1,,29.25,TA samples in mercuric chloride
20190502,20190502,10:39,H1T6,amb,13.1,-61.7,,29.37,TA samples in mercuric chloride
20190502,20190502,10:31,H1T7,low,12.59,-24.3,,29.07,TA samples in mercuric chloride
20190502,20190502,10:37,H1T8,amb,12.54,-58.6,,29.25,TA samples in mercuric chloride
20190509,20190502,14:35,H1T1,low,15.98,-17.2,,29.16,
20190509,20190502,14:39,H1T2,amb,15.36,-63.8,,29.18,
20190509,20190502,14:36,H1T3,low,15.64,-18.1,,29.1,
20190509,20190502,14:40,H1T4,amb,15.39,-63.6,,29.19,
20190509,20190502,14:37,H1T5,low,15.63,-18.6,,29.18,
20190509,20190502,14:41,H1T6,amb,15.41,-64,,29.25,
20190509,20190502,14:38,H1T7,low,15.62,-15.7,,29.17,
20190509,20190502,14:41,H1T8,amb,15.39,-64,,29.25,
20190529,20190502,9:44,H1T1,low,16.4,-22.9,,28.92,pH calibration checked with standards and was fine; salinity checked and was off so I recalibrated salinity
20190529,20190502,9:49,H1T2,amb,15.63,-43.5,,28.72,pH calibration checked with standards and was fine
20190529,20190502,9:45,H1T3,low,16.11,-19.4,,28.95,pH calibration checked with standards and was fine
20190529,20190502,9:50,H1T4,amb,15.66,-45,,28.68,pH calibration checked with standards and was fine
20190529,20190502,9:46,H1T5,low,16.05,-17.3,,29,pH calibration checked with standards and was fine
20190529,20190502,9:50,H1T6,amb,15.44,-45.2,,28.78,pH calibration checked with standards and was fine
20190529,20190502,9:47,H1T7,low,16.07,-22.8,,28.96,pH calibration checked with standards and was fine
20190529,20190502,10:03,H1T8,amb,15.65,-45.8,,28.5,pH calibration checked with standards and was fine
20190606,20190502,9:38,H1T1,low,16.3,-19.5,,29.15,
20190606,20190502,9:46,H1T2,amb,15.46,-50.6,,29.18,
20190606,20190502,9:38,H1T3,low,16.09,-19.7,,29.3,
20190606,20190502,9:52,H1T4,amb,16.17,-42.8,,20.85,*this reading was clearly off even after multiple measurements in the cup and in the water in the tray; I don't know whether to believe it or if the probes were messing up because the meter kept shutting off
20190606,20190502,9:39,H1T5,low,16.09,-19.1,,29.31,
20190606,20190502,9:54,H1T6,amb,15.6,-51.2,,29.25,
20190606,20190502,9:40,H1T7,low,16.12,-20.9,,29.32,
20190606,20190502,9:58,H1T8,amb,15.8,-46.2,,29.29,
